Date,Code,Amount,Close,ForwardFactor,High,Low,Volume,Open
2025-04-18,002074.SZ,15389.02,20.12,0.0,20.17,19.89,7638106.0,20.07
2025-04-21,002074.SZ,17782.22,20.2,0.0,20.26,19.99,8780670.0,20.13
2025-04-22,002074.SZ,18773.28,20.0,0.0,20.12,19.89,9339186.0,20.09
2025-04-23,002074.SZ,22548.76,20.06,0.0,20.19,19.89,11202977.0,20.1
2025-04-24,002074.SZ,20252.09,19.93,0.0,20.22,19.88,10057761.0,20.06
2025-04-25,002074.SZ,21549.89,20.17,0.0,20.22,19.93,10660994.0,20.1
2025-04-28,002074.SZ,20876.07,20.01,0.0,20.35,20.0,10319361.0,20.29
2025-04-29,002074.SZ,23163.24,20.29,0.0,20.34,19.96,11386200.0,19.96
2025-04-30,002074.SZ,25528.66,20.56,0.0,20.67,20.24,12400069.0,20.28
2025-05-06,002074.SZ,30936.84,20.92,0.0,20.92,20.69,14814765.0,20.7
2025-05-07,002074.SZ,32705.72,20.9,0.0,21.23,20.75,15565692.0,21.2
2025-05-08,002074.SZ,33067.09,21.2,0.0,21.37,20.91,15551769.0,20.97
2025-05-09,002074.SZ,129997.93,23.15,0.0,23.33,21.0,57380968.0,21.25
2025-05-12,002074.SZ,283024.09,24.05,0.0,24.79,23.31,117275584.0,23.92
2025-05-13,002074.SZ,166132.41,23.83,0.0,23.92,23.35,69944064.0,23.79
2025-05-14,002074.SZ,131772.56,23.73,0.0,24.19,23.56,55111792.0,23.65
2025-05-15,002074.SZ,116013.7,22.94,0.0,23.67,22.89,49966892.0,23.61
2025-05-16,002074.SZ,108902.08,23.0,0.0,23.63,22.78,46894716.0,22.8
2025-05-19,002074.SZ,114188.65,23.02,0.0,23.62,23.0,48987596.0,23.1
2025-05-20,002074.SZ,251245.88,24.13,0.0,25.02,23.41,103478584.0,23.41
2025-05-21,002074.SZ,332974.66,26.55,0.0,26.55,24.15,127905048.0,24.15
2025-05-22,002074.SZ,500506.16,25.8,0.0,27.49,25.7,187820736.0,26.9
2025-05-23,002074.SZ,279462.75,25.15,0.0,26.13,25.01,109323776.0,25.81
2025-05-26,002074.SZ,165146.23,24.85,0.0,25.28,24.64,66101048.0,24.88
2025-05-27,002074.SZ,331916.66,25.85,0.0,26.08,24.51,130417480.0,24.75
2025-05-28,002074.SZ,185806.92,24.81,0.0,25.38,24.8,73947568.0,25.36
2025-05-29,002074.SZ,134974.08,24.69,0.0,25.0,24.48,54352280.0,24.53
2025-05-30,002074.SZ,118385.01,24.39,0.0,24.98,24.36,47833464.0,24.67
2025-06-03,002074.SZ,98603.84,24.46,0.0,24.66,24.0,40270012.0,24.0
2025-06-04,002074.SZ,161321.16,25.01,0.0,25.44,24.42,64152472.0,24.55
2025-06-05,002074.SZ,97929.58,24.89,0.0,25.12,24.72,39254472.0,25.02
2025-06-06,002074.SZ,182906.14,25.16,0.0,25.89,24.85,71735792.0,24.93
2025-06-09,002074.SZ,161250.78,25.75,0.0,26.0,25.21,62516008.0,25.31
2025-06-10,002074.SZ,208399.0,25.21,0.0,26.32,25.1,80892768.0,25.86
2025-06-11,002074.SZ,139619.7,25.09,0.0,25.95,25.04,54754376.0,25.1
2025-06-12,002074.SZ,106602.61,25.09,0.0,25.28,24.71,42536096.0,24.99
2025-06-13,002074.SZ,88464.92,24.61,0.0,25.05,24.53,35622744.0,24.9
2025-06-16,002074.SZ,61254.29,24.84,0.0,24.87,24.52,24659688.0,24.54
2025-06-17,002074.SZ,88792.55,25.0,0.0,25.22,24.73,35436644.0,24.85
2025-06-18,002074.SZ,193089.11,25.88,0.0,26.28,24.63,75425952.0,24.9
2025-06-19,002074.SZ,263209.69,26.4,0.0,27.15,25.78,99134224.0,25.89
2025-06-20,002074.SZ,172513.22,25.76,0.0,26.7,25.67,65683800.0,26.2
2025-06-23,002074.SZ,305827.47,27.65,0.0,27.9,25.49,112246736.0,25.5
2025-06-24,002074.SZ,496961.22,30.43,0.0,30.43,27.2,171152752.0,27.38
