Date,Code,Low,High,Open,Amount,Close,ForwardFactor,Volume
2025-06-23,002812.SZ,26.07,26.77,26.26,30127.74,26.77,0.0,11324989.0
2025-06-24,002812.SZ,26.77,28.12,26.78,71848.64,28.12,0.0,25958604.0
2025-06-25,002812.SZ,28.0,28.54,28.19,52685.26,28.43,0.0,18631338.0
2025-06-26,002812.SZ,28.69,30.44,28.75,119907.8,29.36,0.0,40219248.0
2025-06-27,002812.SZ,29.54,30.9,29.58,80962.03,29.62,0.0,27022676.0
2025-06-30,002812.SZ,29.09,29.95,29.95,50354.73,29.29,0.0,17175974.0
2025-07-01,002812.SZ,28.53,29.34,29.33,46422.14,28.9,0.0,16099966.0
2025-07-02,002812.SZ,28.56,29.15,28.99,45706.95,29.02,0.0,15860660.0
2025-07-03,002812.SZ,28.61,29.73,29.0,58914.58,29.43,0.0,20151160.0
2025-07-04,002812.SZ,28.72,29.38,29.36,40427.8,28.82,0.0,13981734.0
2025-07-07,002812.SZ,28.51,28.9,28.66,24482.96,28.59,0.0,8546047.0
2025-07-08,002812.SZ,28.52,29.47,28.56,46255.57,29.34,0.0,15885389.0
2025-07-09,002812.SZ,28.84,29.45,29.39,34340.39,28.89,0.0,11779617.0
2025-07-10,002812.SZ,28.38,28.92,28.45,41776.06,28.79,0.0,14557270.0
2025-07-11,002812.SZ,28.52,29.07,28.79,43801.99,28.56,0.0,15231105.0
2025-07-14,002812.SZ,28.41,29.22,28.6,43093.37,28.51,0.0,15005890.0
2025-07-15,002812.SZ,27.82,28.71,28.55,39151.13,28.19,0.0,13887701.0
2025-07-16,002812.SZ,28.06,28.44,28.11,22924.14,28.19,0.0,8123162.0
2025-07-17,002812.SZ,28.11,29.2,28.26,57024.73,29.12,0.0,19867732.0
2025-07-18,002812.SZ,28.96,29.57,29.17,45216.54,29.13,0.0,15450414.0
2025-07-21,002812.SZ,28.95,29.24,29.15,27504.22,29.24,0.0,9445214.0
2025-07-22,002812.SZ,29.09,29.86,29.2,57730.89,29.59,0.0,19535836.0
2025-07-23,002812.SZ,29.33,30.17,29.6,58098.77,29.38,0.0,19565900.0
