Date,Code,Low,High,Amount,Close,Open,Volume,ForwardFactor
2025-04-11,002940.SZ,12.43,12.76,3356.3,12.44,12.49,2649645.0,0.0
2025-04-14,002940.SZ,12.47,12.88,3822.04,12.74,12.56,2975944.0,0.0
2025-04-15,002940.SZ,12.56,13.0,2822.51,12.84,12.74,2186272.0,0.0
2025-04-16,002940.SZ,12.28,12.78,3501.72,12.49,12.78,2769530.0,0.0
2025-04-17,002940.SZ,12.37,12.68,1831.87,12.59,12.49,1442415.0,0.0
2025-04-18,002940.SZ,12.43,12.85,1739.3,12.56,12.53,1368429.0,0.0
2025-04-21,002940.SZ,12.43,12.88,3098.3,12.78,12.49,2408750.0,0.0
2025-04-22,002940.SZ,12.74,13.41,7154.77,13.37,12.86,5400031.0,0.0
2025-04-23,002940.SZ,13.19,14.38,12005.05,13.83,13.38,8583984.0,0.0
2025-04-24,002940.SZ,13.66,14.2,9469.46,13.7,13.7,6767585.0,0.0
2025-04-25,002940.SZ,13.24,13.83,6820.89,13.32,13.69,5028791.0,0.0
2025-04-28,002940.SZ,13.16,13.48,4432.77,13.23,13.32,3299917.0,0.0
2025-04-29,002940.SZ,13.28,13.66,3512.42,13.4,13.31,2585483.0,0.0
2025-04-30,002940.SZ,13.24,13.55,3602.74,13.25,13.31,2671717.0,0.0
2025-05-06,002940.SZ,13.23,13.54,3277.96,13.37,13.28,2434221.0,0.0
2025-05-07,002940.SZ,13.37,13.86,3816.77,13.51,13.48,2794755.0,0.0
2025-05-08,002940.SZ,13.4,13.88,3515.78,13.61,13.48,2552572.0,0.0
2025-05-09,002940.SZ,13.43,13.68,2604.03,13.53,13.58,1907051.0,0.0
2025-05-12,002940.SZ,13.29,13.6,3632.83,13.41,13.52,2690728.0,0.0
2025-05-13,002940.SZ,13.29,13.56,2428.24,13.36,13.53,1797200.0,0.0
2025-05-14,002940.SZ,13.14,13.36,2757.4,13.24,13.3,2067430.0,0.0
2025-05-15,002940.SZ,13.13,13.48,2788.43,13.37,13.26,2074796.0,0.0
2025-05-16,002940.SZ,13.29,13.79,4916.95,13.77,13.31,3580770.0,0.0
2025-05-19,002940.SZ,13.47,13.77,4008.09,13.59,13.76,2927891.0,0.0
2025-05-20,002940.SZ,13.57,14.1,6368.3,14.03,13.59,4540764.0,0.0
2025-05-21,002940.SZ,13.95,15.4,18083.1,14.48,13.98,12264522.0,0.0
2025-05-22,002940.SZ,14.1,14.49,11144.06,14.15,14.4,7741472.0,0.0
2025-05-23,002940.SZ,14.08,14.84,8577.48,14.08,14.24,5927706.0,0.0
2025-05-26,002940.SZ,13.98,14.77,7791.64,14.18,14.14,5406936.0,0.0
2025-05-27,002940.SZ,14.11,14.56,7152.92,14.53,14.25,4927838.0,0.0
2025-05-28,002940.SZ,14.28,14.67,6588.38,14.34,14.48,4521760.0,0.0
2025-05-29,002940.SZ,14.22,15.24,13177.73,14.92,14.38,8842538.0,0.0
2025-05-30,002940.SZ,14.78,15.17,9328.65,14.94,14.82,6193502.0,0.0
2025-06-03,002940.SZ,14.84,16.45,18629.0,16.45,15.13,11593181.0,0.0
2025-06-04,002940.SZ,16.58,17.88,50079.57,16.72,17.88,29191948.0,0.0
2025-06-05,002940.SZ,16.03,18.4,50367.92,17.72,16.39,28927490.0,0.0
2025-06-06,002940.SZ,17.23,19.5,54919.04,19.5,17.71,29548864.0,0.0
2025-06-09,002940.SZ,20.63,21.46,34732.91,21.46,20.63,16235145.0,0.0
2025-06-10,002940.SZ,23.08,23.62,22797.92,23.62,23.62,9616181.0,0.0
2025-06-11,002940.SZ,24.36,25.99,139327.06,25.99,25.66,53854728.0,0.0
2025-06-12,002940.SZ,25.86,28.26,132165.08,26.98,27.66,48759284.0,0.0
2025-06-13,002940.SZ,25.38,27.09,79763.29,26.23,26.14,30254506.0,0.0
2025-06-16,002940.SZ,25.57,28.87,78406.1,28.87,25.97,28519036.0,0.0
2025-06-17,002940.SZ,28.38,31.71,115589.84,28.89,30.31,38638392.0,0.0
2025-06-18,002940.SZ,26.89,28.76,87341.9,27.88,28.3,31411320.0,0.0
2025-06-19,002940.SZ,28.15,30.34,67297.3,28.92,28.78,22902092.0,0.0
2025-06-20,002940.SZ,26.95,31.82,52774.73,31.82,26.95,17405540.0,0.0
2025-06-23,002940.SZ,28.63,32.18,72805.12,31.89,31.27,23402480.0,0.0
2025-06-24,002940.SZ,31.29,34.38,77966.48,33.29,31.29,23341176.0,0.0
2025-06-25,002940.SZ,32.08,34.96,81316.06,32.73,32.13,24234326.0,0.0
2025-06-26,002940.SZ,29.48,32.33,59696.91,30.76,31.04,19371348.0,0.0
2025-06-27,002940.SZ,30.47,33.85,42760.36,33.85,30.78,13101298.0,0.0
2025-06-30,002940.SZ,33.85,37.25,69328.59,36.99,33.85,19532020.0,0.0
2025-07-01,002940.SZ,36.1,40.7,61772.58,40.7,36.11,16130624.0,0.0
2025-07-02,002940.SZ,40.06,44.78,92668.15,44.78,40.67,21213820.0,0.0
2025-07-03,002940.SZ,40.88,48.48,78893.91,44.8,40.88,17684452.0,0.0
2025-07-04,002940.SZ,40.81,44.48,58447.29,41.29,43.88,13819686.0,0.0
2025-07-07,002940.SZ,39.8,43.1,43717.41,41.45,43.1,10559086.0,0.0
2025-07-08,002940.SZ,38.37,41.83,41853.96,39.83,41.69,10521328.0,0.0
2025-07-09,002940.SZ,38.22,40.95,38370.06,39.64,39.62,9789910.0,0.0
2025-07-10,002940.SZ,37.25,39.87,30392.79,37.73,39.77,7965061.0,0.0
2025-07-11,002940.SZ,37.7,40.35,36840.84,38.3,37.99,9466233.0,0.0
