Date,Code,High,Volume,Open,Close,Amount,ForwardFactor,Low
2025-04-15,300689.SZ,30.73,900800.0,30.05,30.5,2718.25,0.0,29.61
2025-04-16,300689.SZ,31.1,747200.0,30.68,30.83,2292.39,0.0,30.17
2025-04-17,300689.SZ,31.9,872100.0,30.97,31.5,2737.46,0.0,30.68
2025-04-18,300689.SZ,31.88,889949.0,31.76,31.5,2764.3,0.0,30.52
2025-04-21,300689.SZ,31.78,464700.0,31.78,31.41,1453.26,0.0,31.07
2025-04-22,300689.SZ,31.55,777019.0,31.4,30.38,2393.19,0.0,30.18
2025-04-23,300689.SZ,30.68,1388000.0,30.68,30.38,4178.51,0.0,29.2
2025-04-24,300689.SZ,32.3,1652540.0,31.89,30.39,5085.84,0.0,29.68
2025-04-25,300689.SZ,30.8,821850.0,30.09,30.25,2503.25,0.0,29.61
2025-04-28,300689.SZ,30.69,494810.0,30.18,30.42,1497.99,0.0,29.87
2025-04-29,300689.SZ,32.19,1429540.0,31.97,31.8,4504.57,0.0,30.21
2025-04-30,300689.SZ,34.4,1793200.0,31.99,34.15,5978.3,0.0,31.38
2025-05-06,300689.SZ,35.05,1383140.0,34.73,35.03,4798.86,0.0,33.91
2025-05-07,300689.SZ,35.7,1209530.0,35.04,35.3,4255.17,0.0,34.81
2025-05-08,300689.SZ,35.78,805990.0,34.94,35.73,2853.74,0.0,34.68
2025-05-09,300689.SZ,36.11,793520.0,36.11,35.1,2790.33,0.0,34.92
2025-05-12,300689.SZ,35.55,615340.0,35.3,35.14,2167.05,0.0,34.86
2025-05-13,300689.SZ,35.49,778820.0,35.22,34.58,2711.55,0.0,34.46
2025-05-14,300689.SZ,35.66,919740.0,34.68,34.8,3215.52,0.0,34.45
2025-05-15,300689.SZ,35.3,736950.0,34.88,34.51,2560.11,0.0,34.3
2025-05-16,300689.SZ,36.9,2298940.0,34.76,36.05,8251.78,0.0,34.02
2025-05-19,300689.SZ,36.27,1158270.0,35.81,35.83,4129.39,0.0,35.21
2025-05-20,300689.SZ,37.49,1461360.0,35.83,36.89,5348.53,0.0,35.47
2025-05-21,300689.SZ,36.83,885770.0,36.83,35.99,3217.77,0.0,35.97
2025-05-22,300689.SZ,36.29,829060.0,35.75,35.45,2971.76,0.0,35.43
2025-05-23,300689.SZ,36.66,805860.0,35.98,35.48,2898.28,0.0,35.31
2025-05-26,300689.SZ,38.07,1574750.0,35.92,36.51,5814.7,0.0,35.2
2025-05-27,300689.SZ,37.3,1080960.0,36.98,36.95,3970.15,0.0,35.98
2025-05-28,300689.SZ,37.27,784700.0,37.27,36.35,2881.34,0.0,36.23
2025-05-29,300689.SZ,36.68,767730.0,36.35,36.6,2795.95,0.0,36.16
2025-05-30,300689.SZ,37.47,861770.0,36.46,37.11,3178.39,0.0,36.23
2025-06-03,300689.SZ,37.69,771340.0,37.19,37.1,2866.52,0.0,36.74
2025-06-04,300689.SZ,38.38,913040.0,37.1,37.57,3449.97,0.0,36.98
2025-06-05,300689.SZ,38.35,1187870.0,37.82,38.26,4499.74,0.0,36.86
2025-06-06,300689.SZ,39.5,1960990.0,38.35,38.38,7570.59,0.0,38.02
2025-06-09,300689.SZ,39.47,2109510.0,38.77,39.46,8185.99,0.0,38.03
2025-06-10,300689.SZ,40.68,1859505.0,39.6,40.07,7432.28,0.0,39.02
2025-06-11,300689.SZ,47.27,5559385.0,40.5,46.89,24576.2,0.0,39.64
2025-06-12,300689.SZ,51.58,5950678.0,46.89,47.74,28699.91,0.0,45.93
2025-06-13,300689.SZ,57.29,9141003.0,47.8,57.29,49077.41,0.0,46.66
2025-06-16,300689.SZ,57.28,9460816.0,57.28,51.62,49312.88,0.0,50.28
2025-06-17,300689.SZ,50.6,7346162.0,50.5,46.56,35190.26,0.0,46.2
2025-06-18,300689.SZ,47.78,5768532.0,46.56,47.5,26581.69,0.0,44.49
2025-06-19,300689.SZ,47.17,4774290.0,47.17,43.73,21309.0,0.0,43.63
2025-06-20,300689.SZ,45.58,3095687.0,43.29,44.38,13798.12,0.0,42.71
