Date,Code,Amount,Low,High,Open,Volume,ForwardFactor,Close
2025-04-16,301076.SZ,6938.13,17.46,18.28,18.05,2977260.0,0.0,17.81
2025-04-17,301076.SZ,5284.54,17.65,18.18,17.92,2251900.0,0.0,17.79
2025-04-18,301076.SZ,4757.76,17.52,18.06,17.78,2049800.0,0.0,17.82
2025-04-21,301076.SZ,6334.93,17.75,18.43,17.96,2667900.0,0.0,18.43
2025-04-22,301076.SZ,17409.38,18.18,19.72,18.38,7042445.0,0.0,19.18
2025-04-23,301076.SZ,25359.1,19.01,21.14,19.06,9735200.0,0.0,20.44
2025-04-24,301076.SZ,57841.21,20.16,24.54,20.38,19401284.0,0.0,24.54
2025-04-25,301076.SZ,65944.95,23.16,25.44,25.29,20966528.0,0.0,23.41
2025-04-28,301076.SZ,83892.76,22.91,27.85,23.37,25097126.0,0.0,26.32
2025-04-29,301076.SZ,77234.87,26.82,31.59,26.82,19936748.0,0.0,31.59
2025-04-30,301076.SZ,122506.52,29.18,33.0,32.31,30883944.0,0.0,30.0
2025-05-06,301076.SZ,103041.7,28.42,30.68,29.89,26674336.0,0.0,30.68
2025-05-07,301076.SZ,128562.56,29.16,34.51,30.18,31488828.0,0.0,32.63
2025-05-08,301076.SZ,86284.02,28.08,30.15,29.55,22776274.0,0.0,28.96
2025-05-09,301076.SZ,71239.73,28.42,30.08,28.95,18741788.0,0.0,28.46
2025-05-12,301076.SZ,68846.43,28.01,30.15,28.92,18276036.0,0.0,29.4
2025-05-13,301076.SZ,77006.53,28.73,31.69,29.12,19514284.0,0.0,29.92
2025-05-14,301076.SZ,72755.04,28.44,30.95,29.18,18826992.0,0.0,29.56
2025-05-15,301076.SZ,55966.6,27.62,29.42,28.89,15221184.0,0.0,27.96
2025-05-16,301076.SZ,135187.5,28.34,33.57,28.48,32577780.0,0.0,32.62
2025-05-19,301076.SZ,100892.3,30.66,32.67,32.58,24564340.0,0.0,31.4
2025-05-20,301076.SZ,67787.06,30.78,32.22,31.99,16595247.0,0.0,31.18
2025-05-21,301076.SZ,56619.04,29.61,31.35,30.7,14374804.0,0.0,29.99
2025-05-22,301076.SZ,78376.71,29.16,32.38,29.16,19301552.0,0.0,30.62
2025-05-23,301076.SZ,71523.98,29.74,31.58,29.94,17809052.0,0.0,30.39
2025-05-26,301076.SZ,113318.0,30.31,35.31,30.99,26451122.0,0.0,34.16
2025-05-27,301076.SZ,94669.75,31.62,34.5,34.23,22330464.0,0.0,32.63
2025-05-28,301076.SZ,72032.91,31.08,33.18,32.55,17295452.0,0.0,31.31
2025-05-29,301076.SZ,69195.05,29.68,31.08,30.64,17648174.0,0.0,29.78
2025-05-30,301076.SZ,41961.22,28.15,29.52,29.22,11195795.0,0.0,28.69
2025-06-03,301076.SZ,29964.83,27.86,29.35,27.86,7995942.0,0.0,28.78
2025-06-04,301076.SZ,46360.15,26.77,28.37,27.88,12905294.0,0.0,28.06
2025-06-05,301076.SZ,33528.57,27.24,28.12,27.74,9274235.0,0.0,27.83
2025-06-06,301076.SZ,31468.14,26.99,28.03,27.77,8807935.0,0.0,27.22
2025-06-09,301076.SZ,28624.41,27.12,28.35,27.12,7889317.0,0.0,27.73
2025-06-10,301076.SZ,28367.78,26.65,27.79,27.62,7995145.0,0.0,27.21
2025-06-11,301076.SZ,19362.29,26.94,27.56,27.01,5441397.0,0.0,27.25
2025-06-12,301076.SZ,19056.95,26.65,27.37,27.3,5425511.0,0.0,26.79
2025-06-13,301076.SZ,18365.02,25.95,26.84,26.75,5371200.0,0.0,26.02
2025-06-16,301076.SZ,13391.37,25.82,26.33,25.91,3934873.0,0.0,26.06
2025-06-17,301076.SZ,11606.97,25.54,26.25,25.91,3453954.0,0.0,25.72
2025-06-18,301076.SZ,14144.42,25.06,25.72,25.51,4287087.0,0.0,25.4
2025-06-19,301076.SZ,20749.1,24.77,25.87,25.34,6271597.0,0.0,24.85
2025-06-20,301076.SZ,14006.58,24.32,25.15,24.71,4363797.0,0.0,24.37
2025-06-23,301076.SZ,10639.87,24.04,24.68,24.04,3343152.0,0.0,24.35
2025-06-24,301076.SZ,43639.54,24.49,26.66,24.53,12960900.0,0.0,26.14
2025-06-25,301076.SZ,50438.33,26.02,28.13,26.14,14214954.0,0.0,26.96
2025-06-26,301076.SZ,31512.22,26.54,27.45,26.86,8990213.0,0.0,26.72
2025-06-27,301076.SZ,18644.35,26.15,26.84,26.66,5402930.0,0.0,26.45
2025-06-30,301076.SZ,15606.67,26.33,26.75,26.39,4510198.0,0.0,26.68
2025-07-01,301076.SZ,16113.93,26.17,26.83,26.67,4665731.0,0.0,26.5
2025-07-02,301076.SZ,13676.13,25.78,26.46,26.46,4022767.0,0.0,26.15
2025-07-03,301076.SZ,9983.57,25.75,26.33,26.23,2947122.0,0.0,25.96
2025-07-04,301076.SZ,10737.71,25.35,26.13,26.13,3215052.0,0.0,25.61
