Date,Code,Close,Amount,High,Low,Volume,ForwardFactor,Open
2025-04-10,600184.SH,12.28,16897.05,12.7,12.22,13550032.0,0.0,12.35
2025-04-11,600184.SH,12.6,13844.05,12.8,12.19,10985067.0,0.0,12.28
2025-04-14,600184.SH,12.51,11622.3,12.73,12.48,9245400.0,0.0,12.6
2025-04-15,600184.SH,12.36,7254.75,12.49,12.12,5912800.0,0.0,12.44
2025-04-16,600184.SH,12.3,5916.58,12.62,12.17,4793700.0,0.0,12.3
2025-04-17,600184.SH,12.51,9590.44,12.75,12.2,7643300.0,0.0,12.2
2025-04-18,600184.SH,12.77,8222.89,12.9,12.4,6504983.0,0.0,12.44
2025-04-21,600184.SH,12.84,5680.83,12.95,12.65,4432700.0,0.0,12.68
2025-04-22,600184.SH,13.1,10656.98,13.35,12.71,8135600.0,0.0,12.8
2025-04-23,600184.SH,12.86,6721.8,13.1,12.78,5218300.0,0.0,13.04
2025-04-24,600184.SH,12.75,4132.58,12.97,12.71,3222450.0,0.0,12.8
2025-04-25,600184.SH,12.8,4421.3,12.89,12.55,3472150.0,0.0,12.74
2025-04-28,600184.SH,12.54,4588.65,12.89,12.49,3635273.0,0.0,12.76
2025-04-29,600184.SH,13.43,19372.49,13.76,12.55,14559665.0,0.0,12.62
2025-04-30,600184.SH,13.66,10230.25,13.74,13.41,7534542.0,0.0,13.51
2025-05-06,600184.SH,13.72,13954.37,14.15,13.49,10181023.0,0.0,13.76
2025-05-07,600184.SH,14.03,26428.23,14.58,13.75,18716096.0,0.0,13.81
2025-05-08,600184.SH,14.24,16717.8,14.26,13.82,11883800.0,0.0,13.92
2025-05-09,600184.SH,14.59,54189.5,15.66,13.75,36105752.0,0.0,14.24
2025-05-12,600184.SH,16.05,81030.05,16.05,14.2,52249212.0,0.0,14.24
2025-05-13,600184.SH,15.22,64716.93,15.99,15.12,41957132.0,0.0,15.89
2025-05-14,600184.SH,14.78,42906.72,15.53,14.71,28662172.0,0.0,15.37
2025-05-15,600184.SH,14.23,31686.78,14.7,14.08,22165202.0,0.0,14.66
2025-05-16,600184.SH,14.01,21493.35,14.4,13.95,15226400.0,0.0,14.07
2025-05-19,600184.SH,14.27,25545.4,14.34,13.85,18087712.0,0.0,14.08
2025-05-20,600184.SH,13.94,17196.98,14.3,13.88,12283800.0,0.0,14.2
2025-05-21,600184.SH,13.7,14276.53,14.0,13.58,10423994.0,0.0,14.0
2025-05-22,600184.SH,13.86,17928.95,14.11,13.55,12877600.0,0.0,13.63
2025-05-23,600184.SH,13.9,12201.85,14.0,13.66,8800027.0,0.0,13.84
2025-05-26,600184.SH,13.77,10163.84,13.95,13.7,7369098.0,0.0,13.89
2025-05-27,600184.SH,13.68,9232.99,13.82,13.59,6751343.0,0.0,13.82
2025-05-28,600184.SH,13.66,12802.97,14.05,13.62,9252600.0,0.0,13.7
2025-05-29,600184.SH,14.04,13752.91,14.05,13.56,9893500.0,0.0,13.58
2025-05-30,600184.SH,14.08,13083.06,14.24,13.75,9321400.0,0.0,13.99
2025-06-03,600184.SH,14.26,19330.46,14.58,14.12,13485915.0,0.0,14.4
2025-06-04,600184.SH,13.88,18340.61,14.4,13.82,13088011.0,0.0,14.17
2025-06-05,600184.SH,13.84,10610.79,13.95,13.62,7683900.0,0.0,13.88
2025-06-06,600184.SH,13.71,9586.81,14.03,13.67,6940100.0,0.0,13.85
2025-06-09,600184.SH,13.77,10359.67,13.89,13.65,7530024.0,0.0,13.7
2025-06-10,600184.SH,13.19,23099.7,13.75,13.0,17457430.0,0.0,13.71
2025-06-11,600184.SH,13.31,8148.98,13.35,13.12,6138802.0,0.0,13.21
2025-06-12,600184.SH,13.22,6187.56,13.36,13.15,4671800.0,0.0,13.27
2025-06-13,600184.SH,13.39,21977.68,13.53,13.18,16444300.0,0.0,13.18
2025-06-16,600184.SH,13.69,19113.46,13.76,13.18,14052200.0,0.0,13.49
2025-06-17,600184.SH,13.99,19960.77,14.11,13.63,14340580.0,0.0,13.64
2025-06-18,600184.SH,14.74,39552.52,14.74,13.91,27555284.0,0.0,14.0
2025-06-19,600184.SH,14.17,35550.46,14.5,13.73,25293400.0,0.0,14.5
2025-06-20,600184.SH,13.81,17828.72,14.18,13.76,12792400.0,0.0,14.17
2025-06-23,600184.SH,14.35,22760.69,14.35,13.92,16049300.0,0.0,14.03
2025-06-24,600184.SH,14.56,36140.26,14.89,13.86,25223744.0,0.0,14.21
2025-06-25,600184.SH,16.02,94692.7,16.02,14.73,60058800.0,0.0,14.8
2025-06-26,600184.SH,16.65,143844.84,17.62,16.0,84617048.0,0.0,16.02
2025-06-27,600184.SH,16.44,109077.51,17.29,16.32,65168704.0,0.0,16.58
2025-06-30,600184.SH,17.56,105459.69,17.59,16.6,61260744.0,0.0,16.6
2025-07-01,600184.SH,17.26,80650.34,17.92,16.9,46842624.0,0.0,17.3
2025-07-02,600184.SH,16.63,56313.17,17.2,16.44,33725972.0,0.0,17.2
2025-07-03,600184.SH,16.48,33115.72,16.86,16.39,19986932.0,0.0,16.64
2025-07-04,600184.SH,16.12,29259.66,16.47,16.06,18055704.0,0.0,16.39
2025-07-07,600184.SH,16.14,22969.79,16.34,15.88,14247131.0,0.0,16.05
2025-07-08,600184.SH,16.09,19692.02,16.18,15.93,12270083.0,0.0,16.0
2025-07-09,600184.SH,16.01,37316.59,16.47,15.96,23018408.0,0.0,16.1
2025-07-10,600184.SH,15.82,23374.4,15.94,15.64,14801031.0,0.0,15.93
