Date,Code,Volume,Open,Amount,High,Low,Close,ForwardFactor
2025-04-15,600366.SH,13244017.0,7.48,9821.71,7.53,7.3,7.34,0.0
2025-04-16,600366.SH,15491580.0,7.34,11159.85,7.34,7.05,7.17,0.0
2025-04-17,600366.SH,12101215.0,7.11,8708.37,7.19,7.08,7.15,0.0
2025-04-18,600366.SH,11194959.0,7.1,7945.91,7.14,7.0,7.08,0.0
2025-04-21,600366.SH,13084300.0,7.1,9359.59,7.15,7.01,7.15,0.0
2025-04-22,600366.SH,13501100.0,7.12,9606.6,7.12,7.02,7.08,0.0
2025-04-23,600366.SH,30537824.0,7.11,22439.83,7.47,7.1,7.34,0.0
2025-04-24,600366.SH,20872762.0,7.42,15345.57,7.45,7.21,7.25,0.0
2025-04-25,600366.SH,14660365.0,7.25,10729.5,7.31,7.2,7.28,0.0
2025-04-28,600366.SH,13017607.0,7.27,9411.48,7.28,7.13,7.14,0.0
2025-04-29,600366.SH,13901000.0,7.12,10113.79,7.27,7.1,7.27,0.0
2025-04-30,600366.SH,25344408.0,7.41,18954.35,7.49,7.39,7.41,0.0
2025-05-06,600366.SH,52273280.0,7.55,41459.02,8.05,7.55,8.03,0.0
2025-05-07,600366.SH,43855444.0,8.13,35507.6,8.15,7.95,8.04,0.0
2025-05-08,600366.SH,24854240.0,8.07,20056.39,8.1,7.97,8.02,0.0
2025-05-09,600366.SH,22644640.0,8.02,18285.27,8.09,7.96,8.03,0.0
2025-05-12,600366.SH,44411940.0,8.14,37057.14,8.4,8.08,8.4,0.0
2025-05-13,600366.SH,38159244.0,8.55,31955.84,8.62,8.21,8.26,0.0
2025-05-14,600366.SH,32169052.0,8.26,26969.07,8.45,8.2,8.32,0.0
2025-05-15,600366.SH,27195372.0,8.35,22775.07,8.43,8.24,8.29,0.0
2025-05-16,600366.SH,30410122.0,8.25,25508.0,8.45,8.23,8.26,0.0
2025-05-19,600366.SH,26399440.0,8.3,21463.55,8.31,8.0,8.11,0.0
2025-05-20,600366.SH,19248960.0,8.13,15844.98,8.25,8.1,8.22,0.0
2025-05-21,600366.SH,15696233.0,8.28,12866.78,8.3,8.1,8.1,0.0
2025-05-22,600366.SH,17482970.0,8.1,14105.15,8.12,7.94,7.97,0.0
2025-05-23,600366.SH,15848159.0,7.98,12748.58,8.09,7.89,7.91,0.0
2025-05-26,600366.SH,10657640.0,7.91,8536.03,8.01,7.87,7.97,0.0
2025-05-27,600366.SH,13067060.0,8.01,10366.01,8.01,7.83,7.92,0.0
2025-05-28,600366.SH,11765520.0,7.94,9282.92,7.94,7.78,7.8,0.0
2025-05-29,600366.SH,11455190.0,7.8,9087.78,7.94,7.78,7.89,0.0
2025-05-30,600366.SH,13093804.0,7.85,10231.23,7.89,7.72,7.77,0.0
2025-06-03,600366.SH,11620360.0,7.76,9119.27,7.85,7.75,7.81,0.0
2025-06-04,600366.SH,21249782.0,7.78,17029.67,8.05,7.78,7.99,0.0
2025-06-05,600366.SH,53229656.0,7.99,44513.74,8.58,7.95,8.33,0.0
2025-06-06,600366.SH,30992636.0,8.34,25893.17,8.44,8.2,8.25,0.0
2025-06-09,600366.SH,55127184.0,8.4,47371.39,8.83,8.31,8.59,0.0
2025-06-10,600366.SH,69731456.0,8.63,60730.09,8.79,8.52,8.69,0.0
2025-06-11,600366.SH,152910720.0,8.71,144695.25,9.56,8.63,9.56,0.0
2025-06-12,600366.SH,198224464.0,9.89,202799.95,10.52,9.76,10.52,0.0
2025-06-13,600366.SH,303525760.0,11.58,340765.47,11.58,10.65,11.1,0.0
2025-06-16,600366.SH,267153808.0,10.56,298609.41,11.85,10.23,11.55,0.0
2025-06-17,600366.SH,286967936.0,11.25,350639.78,12.61,11.19,11.76,0.0
2025-06-18,600366.SH,224264272.0,11.41,244365.48,11.64,10.58,10.58,0.0
2025-06-19,600366.SH,188764528.0,10.25,188376.72,10.39,9.61,9.67,0.0
