Date,Code,High,Volume,ForwardFactor,Open,Amount,Low,Close
2025-04-24,600601.SH,4.41,63790868.0,0.0,4.4,27720.43,4.3,4.31
2025-04-25,600601.SH,4.45,70531368.0,0.0,4.33,30884.25,4.3,4.35
2025-04-28,600601.SH,4.37,45145364.0,0.0,4.36,19412.8,4.27,4.28
2025-04-29,600601.SH,4.32,39279224.0,0.0,4.26,16851.72,4.23,4.29
2025-04-30,600601.SH,4.37,56870516.0,0.0,4.29,24711.3,4.28,4.34
2025-05-06,600601.SH,4.55,87799464.0,0.0,4.39,39321.04,4.39,4.53
2025-05-07,600601.SH,4.62,77061536.0,0.0,4.56,34856.36,4.47,4.51
2025-05-08,600601.SH,4.58,66431744.0,0.0,4.5,30242.05,4.48,4.57
2025-05-09,600601.SH,4.55,62103792.0,0.0,4.55,27723.87,4.41,4.44
2025-05-12,600601.SH,4.54,51050168.0,0.0,4.49,23039.19,4.49,4.52
2025-05-13,600601.SH,4.58,46075792.0,0.0,4.58,20752.45,4.46,4.47
2025-05-14,600601.SH,4.56,58392388.0,0.0,4.5,26206.24,4.44,4.48
2025-05-15,600601.SH,4.48,65676944.0,0.0,4.47,28741.0,4.33,4.34
2025-05-16,600601.SH,4.44,42134540.0,0.0,4.35,18412.49,4.3,4.36
2025-05-19,600601.SH,4.38,44059380.0,0.0,4.36,19102.9,4.29,4.38
2025-05-20,600601.SH,4.41,38917960.0,0.0,4.36,17034.0,4.33,4.39
2025-05-21,600601.SH,4.39,37805312.0,0.0,4.39,16420.12,4.32,4.34
2025-05-22,600601.SH,4.37,40358048.0,0.0,4.32,17418.56,4.28,4.3
2025-05-23,600601.SH,4.3,56072972.0,0.0,4.28,23795.59,4.19,4.19
2025-05-26,600601.SH,4.25,33844064.0,0.0,4.19,14314.52,4.18,4.24
2025-05-27,600601.SH,4.26,28024228.0,0.0,4.26,11782.74,4.19,4.21
2025-05-28,600601.SH,4.24,27581090.0,0.0,4.23,11601.22,4.18,4.2
2025-05-29,600601.SH,4.3,56976536.0,0.0,4.19,24347.37,4.19,4.3
2025-05-30,600601.SH,4.28,47153336.0,0.0,4.28,19885.5,4.19,4.21
2025-06-03,600601.SH,4.25,28375546.0,0.0,4.2,11981.5,4.16,4.22
2025-06-04,600601.SH,4.32,50123680.0,0.0,4.24,21497.2,4.22,4.29
2025-06-05,600601.SH,4.72,203121856.0,0.0,4.26,94108.91,4.26,4.72
2025-06-06,600601.SH,4.73,207321616.0,0.0,4.72,96496.63,4.61,4.65
2025-06-09,600601.SH,4.85,203366192.0,0.0,4.68,97029.94,4.67,4.8
2025-06-10,600601.SH,4.88,169060688.0,0.0,4.79,81103.73,4.72,4.79
2025-06-11,600601.SH,5.25,318829824.0,0.0,4.76,160356.0,4.76,4.97
2025-06-12,600601.SH,5.01,174154752.0,0.0,4.85,85854.42,4.85,4.9
2025-06-13,600601.SH,4.91,160122128.0,0.0,4.87,76083.81,4.66,4.7
2025-06-16,600601.SH,4.83,92031336.0,0.0,4.7,43876.81,4.68,4.75
2025-06-17,600601.SH,4.78,80566272.0,0.0,4.75,37632.08,4.61,4.65
2025-06-18,600601.SH,4.86,205128176.0,0.0,4.65,98103.0,4.6,4.83
2025-06-19,600601.SH,4.98,171594144.0,0.0,4.79,83096.79,4.75,4.78
2025-06-20,600601.SH,4.81,105195216.0,0.0,4.77,49258.92,4.63,4.65
2025-06-23,600601.SH,4.75,93472288.0,0.0,4.6,43809.73,4.57,4.7
2025-06-24,600601.SH,4.81,94571400.0,0.0,4.72,45049.41,4.7,4.78
2025-06-25,600601.SH,4.85,112478672.0,0.0,4.8,53777.22,4.73,4.81
2025-06-26,600601.SH,5.05,245929312.0,0.0,4.86,121721.1,4.83,4.94
2025-06-27,600601.SH,5.42,402965760.0,0.0,4.94,209967.81,4.85,5.27
2025-06-30,600601.SH,5.43,244126112.0,0.0,5.25,130102.27,5.25,5.34
2025-07-01,600601.SH,5.38,170211120.0,0.0,5.31,90227.26,5.24,5.3
2025-07-02,600601.SH,5.28,156586144.0,0.0,5.26,80074.23,5.05,5.08
2025-07-03,600601.SH,5.59,425001440.0,0.0,5.08,230847.72,5.08,5.59
2025-07-04,600601.SH,5.74,452914528.0,0.0,5.6,254363.02,5.52,5.6
2025-07-07,600601.SH,5.79,246307808.0,0.0,5.5,138295.97,5.49,5.58
2025-07-08,600601.SH,5.95,366516576.0,0.0,5.55,211373.8,5.53,5.78
2025-07-09,600601.SH,5.82,227424704.0,0.0,5.75,129841.78,5.65,5.69
2025-07-10,600601.SH,5.76,200517136.0,0.0,5.67,111849.61,5.51,5.58
2025-07-11,600601.SH,5.58,183946208.0,0.0,5.57,100675.5,5.39,5.5
2025-07-14,600601.SH,5.55,123842656.0,0.0,5.51,67632.09,5.42,5.44
2025-07-15,600601.SH,5.6,232214336.0,0.0,5.45,127610.23,5.4,5.47
2025-07-16,600601.SH,5.47,194535040.0,0.0,5.29,104671.48,5.29,5.36
2025-07-17,600601.SH,5.57,219058496.0,0.0,5.33,119956.45,5.3,5.48
2025-07-18,600601.SH,5.65,202053152.0,0.0,5.47,111854.74,5.45,5.5
2025-07-21,600601.SH,5.66,138426832.0,0.0,5.52,76235.99,5.43,5.48
2025-07-22,600601.SH,5.55,173587072.0,0.0,5.45,94280.97,5.35,5.37
2025-07-23,600601.SH,5.35,112503760.0,0.0,5.34,59482.05,5.21,5.29
