Date,Code,ForwardFactor,Open,Low,High,Volume,Close,Amount
2025-04-18,605378.SH,0.0,14.59,14.5,14.79,2048120.0,14.71,4311.75
2025-04-21,605378.SH,0.0,14.68,14.63,15.06,2349160.0,15.06,5020.06
2025-04-22,605378.SH,0.0,15.12,14.97,15.27,2399480.0,15.04,5194.09
2025-04-23,605378.SH,0.0,15.08,15.08,15.5,3373500.0,15.41,7424.83
2025-04-24,605378.SH,0.0,15.36,15.26,15.66,2938240.0,15.49,6498.53
2025-04-25,605378.SH,0.0,15.44,15.29,15.59,2303880.0,15.4,5097.41
2025-04-28,605378.SH,0.0,15.21,14.5,15.27,4896180.0,14.67,10325.23
2025-04-29,605378.SH,0.0,14.51,14.51,14.97,2172840.0,14.74,4606.82
2025-04-30,605378.SH,0.0,14.84,14.71,15.21,2528300.0,15.07,5431.09
2025-05-06,605378.SH,0.0,15.07,15.07,15.46,2252840.0,15.46,4949.03
2025-05-07,605378.SH,0.0,15.54,15.34,15.78,3298951.0,15.58,7366.84
2025-05-08,605378.SH,0.0,15.56,15.49,15.92,2559783.0,15.79,5791.14
2025-05-09,605378.SH,0.0,15.74,15.49,15.9,2128490.0,15.68,4766.8
2025-05-12,605378.SH,0.0,15.84,15.82,16.14,2987300.0,16.01,6819.29
2025-05-13,605378.SH,0.0,16.15,15.91,16.3,3017860.0,15.99,6938.12
2025-05-14,605378.SH,0.0,15.96,15.76,16.02,2003080.0,15.86,4547.34
2025-05-15,605378.SH,0.0,15.86,15.71,16.01,2113660.0,15.97,4807.49
2025-05-16,605378.SH,0.0,15.91,15.87,16.25,2256900.0,16.19,5199.55
2025-05-19,605378.SH,0.0,16.14,15.99,16.98,4304780.0,16.71,10173.57
2025-05-20,605378.SH,0.0,16.69,16.59,17.09,4150280.0,16.91,10039.14
2025-05-21,605378.SH,0.0,16.79,16.49,17.85,9502099.0,16.52,23293.53
2025-05-22,605378.SH,0.0,16.56,16.07,16.7,5885179.0,16.09,13708.51
2025-05-23,605378.SH,0.0,16.14,15.86,16.41,2966200.0,15.89,6812.06
2025-05-26,605378.SH,0.0,15.79,15.75,16.11,2057960.0,16.04,4700.19
2025-05-27,605378.SH,0.0,16.01,15.87,17.41,5923280.0,16.36,14004.13
