Date,Code,High,ForwardFactor,Close,Open,Low,Volume,Amount
2025-03-17,688321.SH,19.23,0.0,19.03,19.04,18.77,3959136.0,7530.15
2025-03-18,688321.SH,19.39,0.0,19.08,19.07,18.89,3550325.0,6814.08
2025-03-19,688321.SH,19.15,0.0,18.87,19.03,18.8,2972341.0,5634.39
2025-03-20,688321.SH,18.94,0.0,18.69,18.85,18.58,3043924.0,5709.84
2025-03-21,688321.SH,18.74,0.0,18.24,18.55,18.11,3510230.0,6448.01
2025-03-24,688321.SH,18.42,0.0,17.97,18.34,17.6,4647344.0,8364.46
2025-03-25,688321.SH,18.06,0.0,17.9,17.9,17.65,3908386.0,6977.38
2025-03-26,688321.SH,18.16,0.0,17.91,17.88,17.81,2333578.0,4194.67
2025-03-27,688321.SH,18.92,0.0,18.75,17.9,17.61,7097979.0,13060.92
2025-03-28,688321.SH,19.17,0.0,18.52,18.75,18.51,4712100.0,8876.71
2025-03-31,688321.SH,18.5,0.0,18.14,18.32,17.81,4709186.0,8535.87
2025-04-01,688321.SH,19.35,0.0,18.92,18.18,18.18,7440995.0,14111.61
2025-04-02,688321.SH,19.32,0.0,18.85,19.0,18.82,4265265.0,8136.44
2025-04-03,688321.SH,19.34,0.0,18.72,18.72,18.58,4636958.0,8772.95
2025-04-07,688321.SH,18.17,0.0,15.21,17.52,15.02,11850534.0,19519.61
2025-04-08,688321.SH,16.5,0.0,15.93,15.4,15.4,8206089.0,13139.99
2025-04-09,688321.SH,16.4,0.0,16.18,15.52,14.86,6990172.0,10914.46
2025-04-10,688321.SH,16.88,0.0,16.47,16.5,16.36,4694722.0,7796.55
2025-04-11,688321.SH,17.07,0.0,16.83,16.56,16.41,5245096.0,8810.08
2025-04-14,688321.SH,17.29,0.0,16.9,17.15,16.82,3771907.0,6415.16
2025-04-15,688321.SH,17.03,0.0,16.67,17.0,16.56,4540787.0,7582.48
2025-04-16,688321.SH,16.63,0.0,16.26,16.63,16.07,3877569.0,6312.33
2025-04-17,688321.SH,16.5,0.0,16.16,16.12,16.07,3199202.0,5214.74
2025-04-18,688321.SH,16.34,0.0,16.12,16.11,16.0,2131421.0,3437.04
2025-04-21,688321.SH,16.84,0.0,16.77,16.07,16.04,4143250.0,6872.13
2025-04-22,688321.SH,16.88,0.0,16.76,16.76,16.53,2530936.0,4233.35
2025-04-23,688321.SH,17.11,0.0,16.64,16.9,16.56,2685887.0,4509.63
